timestamp;open;high;low;close;volume
2017-08-14;301.13000000;312.18000000;278.00000000;299.10000000;21224.89324000
2017-08-21;299.10000000;348.13000000;144.21000000;348.13000000;45233.88589000
2017-08-28;348.11000000;394.39000000;320.08000000;341.77000000;33886.41427000
2017-09-04;339.29000000;344.55000000;235.55000000;293.50000000;35485.23332000
2017-09-11;293.51000000;316.46000000;192.00000000;257.55000000;58259.63439000
2017-09-18;257.53000000;306.22000000;252.10000000;282.00000000;18833.39464000
2017-09-25;282.00000000;313.00000000;274.00000000;303.95000000;42726.28598000
2017-10-02;303.94000000;318.50000000;283.18000000;311.07000000;25352.71890000
2017-10-09;311.13000000;353.96000000;286.65000000;337.96000000;58855.77319000
2017-10-16;337.50000000;354.00000000;284.68000000;293.79000000;62901.02510000
2017-10-23;293.78000000;310.00000000;272.20000000;305.00000000;62381.73012000
2017-10-30;305.00000000;316.00000000;274.73000000;295.53000000;62514.42916000
2017-11-06;295.19000000;329.00000000;281.01000000;305.24000000;91617.71857000
2017-11-13;304.00000000;373.56000000;303.70000000;354.15000000;114805.04703000
2017-11-20;355.15000000;484.47000000;350.02000000;462.84000000;161563.35640000
2017-11-27;462.84000000;515.00000000;385.00000000;460.30000000;227584.50060000
2017-12-04;460.30000000;488.00000000;375.01000000;427.35000000;246454.47236000
2017-12-11;427.35000000;747.60000000;427.35000000;707.64000000;305806.30833000
2017-12-18;707.62000000;864.90000000;504.99000000;658.00000000;594909.64588000
2017-12-25;659.40000000;766.05000000;599.99000000;733.98000000;479152.58214000
2018-01-01;733.01000000;1125.00000000;716.80000000;1123.09000000;593710.08794000
2018-01-08;1123.09000000;1440.00000000;910.00000000;1347.00000000;900313.84206000
2018-01-15;1347.99000000;1383.13000000;755.00000000;1049.00000000;1610343.15922000
2018-01-22;1049.00000000;1277.00000000;908.00000000;1251.96000000;984564.60150000
2018-01-29;1251.96000000;1258.89000000;783.67000000;823.56000000;1288157.79210000
2018-02-05;821.60000000;911.20000000;570.10000000;808.99000000;1880969.80396000
2018-02-12;808.58000000;978.50000000;807.46000000;911.00000000;945634.50225000
2018-02-19;911.00000000;961.00000000;785.99000000;841.19000000;817168.83052000
2018-02-26;841.46000000;897.49000000;833.00000000;866.66000000;339146.17952000
2018-03-05;866.61000000;871.75000000;640.00000000;720.85000000;518077.34039000
2018-03-12;721.00000000;740.50000000;450.00000000;537.00000000;689358.91685000
2018-03-19;537.39000000;590.52000000;506.71000000;523.74000000;814381.08669000
2018-03-26;523.95000000;527.67000000;356.90000000;378.58000000;1215092.80189000
2018-04-02;378.58000000;419.08000000;362.54000000;400.40000000;715369.80224000
2018-04-09;400.40000000;535.00000000;387.10000000;533.88000000;1051295.44518000
2018-04-16;533.88000000;643.49000000;497.31000000;620.92000000;852000.58094000
2018-04-23;620.67000000;712.99000000;593.83000000;690.85000000;1104058.97603000
2018-04-30;690.85000000;839.99000000;627.58000000;794.30000000;1036650.04606000
2018-05-07;794.30000000;799.14000000;633.20000000;729.08000000;1153492.95325000
2018-05-14;729.08000000;743.90000000;656.00000000;716.16000000;817659.25411000
2018-05-21;716.16000000;720.46000000;550.00000000;570.40000000;948926.78252000
2018-05-28;570.81000000;628.81000000;506.11000000;619.66000000;812736.78468000
2018-06-04;619.66000000;625.47000000;501.13000000;524.11000000;594206.95569000
2018-06-11;524.64000000;538.88000000;449.06000000;497.14000000;1100916.41379000
2018-06-18;497.15000000;548.20000000;419.53000000;454.41000000;1001118.91470000
2018-06-25;454.29000000;474.47000000;404.48000000;452.10000000;846302.28807000
